544.0000001081802,442.9949999797221,799.9999992166252,449.99999990177116,877.9999997612583,172.00600024080643
544.0000003245418,442.9899999391676,799.999997649878,449.9999997052949,877.9999992837633,172.01200072242304
544.000000649086,442.98499987833804,799.9999952997612,449.99999941055256,877.9999985675031,172.01800144485358
544.000001081814,442.9799997972347,799.9999921662771,449.99999901752557,877.999997612466,172.02400240810178
544.0000016227272,442.974999695859,799.9999882494285,449.99999852619527,877.9999964186403,172.03000361217136
544.0000022718265,442.9699995742124,799.9999835492179,449.9999979365431,877.9999949860143,172.03600505706606
544.0000030291133,442.9649994322962,799.9999780656477,449.9999972485504,877.9999933145762,172.04200674278965
544.0000038945888,442.9599992701119,799.9999717987206,449.9999964621986,877.9999914043142,172.04800866934585
544.0000048682541,442.9549990876608,799.999964748439,449.9999955774691,877.9999892552165,172.0540108367384
544.0000059501106,442.9499988849443,799.9999569148055,449.99999459434326,877.9999868672716,172.06001324497103
544.0000071401594,442.94499866196384,799.9999482978226,449.9999935128024,877.9999842404675,172.0660158940475
544.0000084384017,442.9399984187208,799.9999388974928,449.999992332828,877.9999813747925,172.07201878397154
544.0000098448388,442.93499815521653,799.9999287138188,449.9999910544014,877.9999782702349,172.0780219147469
544.000011359472,442.9299978714525,799.9999177468029,449.999989677504,877.999974926783,172.0840252863773
544.0000129823022,442.92499756743,799.9999059964478,449.99998820211715,877.9999713444249,172.0900288988665
544.0000147133309,442.91999724315053,799.9998934627557,449.9999866282223,877.9999675231489,172.09603275221824
544.0000165525593,442.9149968986154,799.9998801457294,449.9999849558008,877.9999634629434,172.10203684643625
544.0000184999884,442.9099965338261,799.9998660453713,449.99998318483404,877.9999591637963,172.10804118152427
544.0000205556197,442.90499614878394,799.9998511616839,449.9999813153034,877.9999546256961,172.11404575748605
544.0000227194543,442.89999574349036,799.9998354946696,449.9999793471902,877.999949848631,172.12005057432532
544.0000249914933,442.8949953179467,799.9998190443309,449.99997728047595,877.9999448325891,172.12605563204582
544.0000273717382,442.88999487215443,799.9998018106704,449.999975115142,877.9999395775588,172.1320609306513
544.00002986019,442.8849944061149,799.9997837936905,449.9999728511697,877.9999340835284,172.1380664701455
544.00003245685,442.87999391982953,799.9997649933938,449.9999704885404,877.9999283504859,172.1440722505322
544.0000351617194,442.87499341329965,799.9997454097826,449.9999680272355,877.9999223784197,172.15007827181506
544.0000379747995,442.8699928865267,799.9997250428594,449.9999654672365,877.9999161673179,172.1560845339979
544.0000408960914,442.86499233951207,799.9997038926266,449.9999628085247,877.9999097171689,172.16209103708442
544.0000439255964,442.85999177225716,799.9996819590867,449.9999600510814,877.9999030279607,172.1680977810784
544.0000470633157,442.8549911847633,799.9996592422423,449.9999571948881,877.9998960996818,172.17410476598351
544.0000503092506,442.84999057703203,799.9996357420956,449.9999542399262,877.9998889323202,172.18011199180359
544.0000536634022,442.8449899490646,799.9996114586492,449.999951186177,877.9998815258643,172.1861194585423
544.0000571257718,442.83998930086244,799.9995863919054,449.9999480336219,877.9998738803023,172.19212716620342
544.0000606963607,442.834988632427,799.9995605418667,449.99994478224227,877.9998659956223,172.1981351147907
544.00006437517,442.8299879437596,799.9995339085356,449.9999414320195,877.9998578718125,172.20414330430788
544.000068162201,442.8249872348617,799.9995064919144,449.999937982935,877.9998495088613,172.21015173475868
544.000072057455,442.8199865057346,799.9994782920056,449.9999344349702,877.9998409067568,172.21616040614688
544.0000760609331,442.8149857563798,799.9994493088117,449.99993078810644,877.9998320654873,172.2221693184762
544.0000801726366,442.80998498679867,799.9994195423349,449.99992704232506,877.999822985041,172.2281784717504
544.0000843925667,442.80498419699256,799.9993889925777,449.9999231976075,877.999813665406,172.2341878659732
544.0000887207246,442.7999833869629,799.9993576595425,449.99991925393505,877.9998041065707,172.2401975011484
544.0000931571117,442.79498255671103,799.9993255432317,449.9999152112892,877.9997943085231,172.2462073772797
544.000097701729,442.78998170623845,799.9992926436478,449.99991106965126,877.9997842712515,172.25221749437083
544.000102354578,442.7849808355465,799.999258960793,449.99990682900267,877.9997739947443,172.25822785242556
544.0001071156596,442.7799799446365,799.9992244946698,449.99990248932477,877.9997634789895,172.26423845144765
544.0001119849753,442.77497903350996,799.9991892452804,449.999898050599,877.9997527239753,172.27024929144085
544.0001169625262,442.7699781021682,799.9991532126273,449.99989351280664,877.9997417296901,172.27626037240887
544.0001220483138,442.7649771506126,799.999116396713,449.9998888759291,877.9997304961219,172.28227169435547
544.000127242339,442.7599761788446,799.9990787975397,449.9998841399478,877.999719023259,172.2882832572844
544.0001325446032,442.75497518686564,799.9990404151098,449.99987930484417,877.9997073110897,172.29429506119942
544.0001379551076,442.749974174677,799.9990012494256,449.9998743705995,877.999695359602,172.30030710610427
544.0001434738534,442.7449731422801,799.9989613004896,449.9998693371952,877.9996831687843,172.30631939200268
544.0001491008419,442.7399720896764,799.9989205683039,449.99986420461266,877.9996707386247,172.3123319188984
544.0001548360743,442.7349710168673,799.9988790528711,449.99985897283324,877.9996580691113,172.3183446867952
544.000160679552,442.72996992385407,799.9988367541933,449.99985364183834,877.9996451602325,172.32435769569682
544.000166631276,442.7249688106382,799.9987936722731,449.99984821160933,877.9996320119764,172.33037094560697
544.0001726912477,442.71996767722106,799.9987498071126,449.9998426821276,877.9996186243312,172.33638443652944
544.0001788594683,442.71496652360406,799.9987051587143,449.99983705337456,877.9996049972851,172.34239816846798
544.000185135939,442.70996534978855,799.9986597270804,449.9998313253315,877.9995911308264,172.3484121414263
544.0001915206611,442.704964155776,799.9986135122133,449.9998254979799,877.9995770249432,172.3544263554082
